"","ANO","cod_regsaud","FAIXA_ETARIA","POP","regiao_saude","beneficiarios","populacao","sus_dependente","uf","pop_sus_dependente"
"1",2021,52007,"30 a 59",43949,"Nordeste II",3336,95382,0.0349751525445053,"52",42411.8770208215
"2",2021,52011,"0 a 14",112424,"Pirineus",88959,462039,0.19253569503873,"52",90778.3670209658
"3",2021,52011,"15 a 29",121123,"Pirineus",88959,462039,0.19253569503873,"52",97802.4990098238
"4",2021,52004,"0 a 14",245761,"Entorno Sul",61824,755622,0.0818186871213384,"52",225653.157634373
"5",2021,52014,"60 ou mais",18828,"Serra da Mesa",11773,120738,0.097508655104441,"52",16992.1070416936
"6",2021,52006,"15 a 29",10294,"Nordeste I",1596,43915,0.0363429352157577,"52",9919.88582488899
"7",2021,52012,"30 a 59",89429,"Rio Vermelho",9424,192610,0.0489278853642075,"52",85053.4281397643
"8",2021,52012,"15 a 29",41528,"Rio Vermelho",9424,192610,0.0489278853642075,"52",39496.1227765952
"9",2021,52003,"0 a 14",66056,"Entorno Norte",14916,234286,0.0636657760173463,"52",61850.4934993982
"10",2021,52001,"15 a 29",436545,"Central",567932,1682850,0.33748224737796,"52",289218.812318388
"11",2021,52004,"30 a 59",367806,"Entorno Sul",61824,755622,0.0818186871213384,"52",337712.595964649
"12",2021,52006,"60 ou mais",5744,"Nordeste I",1596,43915,0.0363429352157577,"52",5535.24618012069
"13",2021,52007,"15 a 29",24091,"Nordeste II",3336,95382,0.0349751525445053,"52",23248.4136000503
"14",2021,52015,"0 a 14",104382,"Sudoeste I",106124,392516,0.270368596439381,"52",76160.3851664645
"15",2021,52009,"15 a 29",21532,"Oeste I",5685,113710,0.0499956028493536,"52",20455.4946794477
"16",2021,52010,"60 ou mais",20520,"Oeste II",9711,107577,0.0902702250481051,"52",18667.6549820129
"17",2021,52014,"0 a 14",27266,"Serra da Mesa",11773,120738,0.097508655104441,"52",24607.3290099223
"18",2021,52017,"60 ou mais",40896,"Sul",49872,232871,0.214161488549454,"52",32137.6517642815
