"","regiao_pad","regiao","cod_uf","uf_pad","uf","uf_sigla","cod_macrorregiao","macrorregiao_pad","macrorregiao","cod_regsaud","regiao_saude_pad","regiao_saude","cod_municipio","cod_municipiodv","municipio_pad","municipio","latitude","longitude"
"1","REGIAO NORTE","Região Norte",11,"RONDONIA","Rondônia","RO",1101,"MACRORREGIONAL II (CACOAL)","Macrorregional II (Cacoal)",11003,"CENTRAL","Central",110025,1100254,"PRESIDENTE MEDICI","Presidente Médici",-11.17321,-61.90944
"2","REGIAO NORTE","Região Norte",11,"RONDONIA","Rondônia","RO",1101,"MACRORREGIONAL II (CACOAL)","Macrorregional II (Cacoal)",11005,"ZONA DA MATA","Zona da Mata",110050,1100502,"NOVO HORIZONTE DO OESTE","Novo Horizonte do Oeste",-11.70974,-61.99439
"3","REGIAO NORTE","Região Norte",11,"RONDONIA","Rondônia","RO",1102,"MACRORREGIAO I - PORTO VELHO","Macrorregião I - Porto Velho",11003,"CENTRAL","Central",110011,1100114,"JARU","Jaru",-10.43595,-62.47623
"4","REGIAO NORTE","Região Norte",11,"RONDONIA","Rondônia","RO",1102,"MACRORREGIAO I - PORTO VELHO","Macrorregião I - Porto Velho",11004,"MADEIRA-MAMORE","Madeira-Mamoré",110020,1100205,"PORTO VELHO","Porto Velho",-8.76889,-63.83145
"5","REGIAO NORTE","Região Norte",11,"RONDONIA","Rondônia","RO",1102,"MACRORREGIAO I - PORTO VELHO","Macrorregião I - Porto Velho",11001,"VALE DO JAMARI","Vale do Jamari",110045,1100452,"BURITIS","Buritis",-10.20981,-63.82968
"6","REGIAO NORTE","Região Norte",11,"RONDONIA","Rondônia","RO",1102,"MACRORREGIAO I - PORTO VELHO","Macrorregião I - Porto Velho",11004,"MADEIRA-MAMORE","Madeira-Mamoré",110080,1100809,"CANDEIAS DO JAMARI","Candeias do Jamari",-8.78502,-63.70002
"7","REGIAO NORTE","Região Norte",12,"ACRE","Acre","AC",1201,"MACRO UNICA - AC","Macro única - AC",12001,"ALTO ACRE","Alto Acre",120010,1200104,"BRASILEIA","Brasiléia",-11.01641,-68.74794
"8","REGIAO NORTE","Região Norte",12,"ACRE","Acre","AC",1201,"MACRO UNICA - AC","Macro única - AC",12003,"JURUA E TARAUACA/ENVIRA","Juruá e Tarauacá/Envira",120060,1200609,"TARAUACA","Tarauacá",-8.15567,-70.7555
"9","REGIAO NORTE","Região Norte",13,"AMAZONAS","Amazonas","AM",1302,"OESTE","Oeste",13008,"TRIANGULO","Triângulo",130210,1302108,"JAPURA","Japurá",-1.88084,-66.9969
"10","REGIAO NORTE","Região Norte",13,"AMAZONAS","Amazonas","AM",1302,"OESTE","Oeste",13008,"TRIANGULO","Triângulo",130426,1304260,"UARINI","Uarini",-2.98361,-65.15535
