"","uf_sigla","cod_macrorregiao","macrorregiao_pad","quantidade","mes_ano"
"1","GO","5209","MACRORREGIAO CENTRO-NORTE",1170,2021-12-01
"2","GO","5208","MACRORREGIAO CENTRO-OESTE",2357,2021-12-01
"3","GO","5210","MACRORREGIAO CENTRO SUDESTE",1558,2021-12-01
"4","GO","5206","MACRORREGIAO SUDOESTE",750,2021-12-01
"5","GO","5207","MACRORREGIAO NORDESTE",1542,2021-12-01
"6","GO","5207","MACRORREGIAO NORDESTE",1437,2021-11-01
"7","GO","5208","MACRORREGIAO CENTRO-OESTE",2335,2021-11-01
"8","GO","5206","MACRORREGIAO SUDOESTE",757,2021-11-01
"9","GO","5210","MACRORREGIAO CENTRO SUDESTE",1542,2021-11-01
"10","GO","5209","MACRORREGIAO CENTRO-NORTE",1195,2021-11-01
"11","GO","5209","MACRORREGIAO CENTRO-NORTE",1137,2021-10-01
"12","GO","5208","MACRORREGIAO CENTRO-OESTE",2462,2021-10-01
"13","GO","5207","MACRORREGIAO NORDESTE",1491,2021-10-01
"14","GO","5210","MACRORREGIAO CENTRO SUDESTE",1563,2021-10-01
"15","GO","5206","MACRORREGIAO SUDOESTE",762,2021-10-01
"16","GO","5209","MACRORREGIAO CENTRO-NORTE",1200,2021-09-01
"17","GO","5207","MACRORREGIAO NORDESTE",1547,2021-09-01
"18","GO","5206","MACRORREGIAO SUDOESTE",759,2021-09-01
"19","GO","5210","MACRORREGIAO CENTRO SUDESTE",1589,2021-09-01
"20","GO","5208","MACRORREGIAO CENTRO-OESTE",2415,2021-09-01
"21","GO","5207","MACRORREGIAO NORDESTE",1507,2021-08-01
"22","GO","5209","MACRORREGIAO CENTRO-NORTE",1243,2021-08-01
"23","GO","5208","MACRORREGIAO CENTRO-OESTE",2337,2021-08-01
"24","GO","5210","MACRORREGIAO CENTRO SUDESTE",1535,2021-08-01
"25","GO","5206","MACRORREGIAO SUDOESTE",731,2021-08-01
"26","GO","5208","MACRORREGIAO CENTRO-OESTE",2406,2021-07-01
"27","GO","5207","MACRORREGIAO NORDESTE",1564,2021-07-01
"28","GO","5209","MACRORREGIAO CENTRO-NORTE",1165,2021-07-01
"29","GO","5206","MACRORREGIAO SUDOESTE",746,2021-07-01
"30","GO","5210","MACRORREGIAO CENTRO SUDESTE",1573,2021-07-01
"31","GO","5210","MACRORREGIAO CENTRO SUDESTE",1484,2021-06-01
"32","GO","5206","MACRORREGIAO SUDOESTE",695,2021-06-01
"33","GO","5207","MACRORREGIAO NORDESTE",1487,2021-06-01
"34","GO","5209","MACRORREGIAO CENTRO-NORTE",1214,2021-06-01
"35","GO","5208","MACRORREGIAO CENTRO-OESTE",2436,2021-06-01
"36","GO","5208","MACRORREGIAO CENTRO-OESTE",2444,2021-05-01
"37","GO","5207","MACRORREGIAO NORDESTE",1646,2021-05-01
"38","GO","5210","MACRORREGIAO CENTRO SUDESTE",1715,2021-05-01
"39","GO","5206","MACRORREGIAO SUDOESTE",779,2021-05-01
"40","GO","5209","MACRORREGIAO CENTRO-NORTE",1281,2021-05-01
"41","GO","5209","MACRORREGIAO CENTRO-NORTE",1270,2021-04-01
"42","GO","5207","MACRORREGIAO NORDESTE",1615,2021-04-01
"43","GO","5206","MACRORREGIAO SUDOESTE",792,2021-04-01
"44","GO","5208","MACRORREGIAO CENTRO-OESTE",2450,2021-04-01
"45","GO","5210","MACRORREGIAO CENTRO SUDESTE",1674,2021-04-01
"46","GO","5209","MACRORREGIAO CENTRO-NORTE",1386,2021-03-01
"47","GO","5207","MACRORREGIAO NORDESTE",1734,2021-03-01
"48","GO","5206","MACRORREGIAO SUDOESTE",792,2021-03-01
"49","GO","5208","MACRORREGIAO CENTRO-OESTE",2713,2021-03-01
"50","GO","5210","MACRORREGIAO CENTRO SUDESTE",1853,2021-03-01
"51","GO","5210","MACRORREGIAO CENTRO SUDESTE",1544,2021-02-01
"52","GO","5206","MACRORREGIAO SUDOESTE",764,2021-02-01
"53","GO","5209","MACRORREGIAO CENTRO-NORTE",1209,2021-02-01
"54","GO","5208","MACRORREGIAO CENTRO-OESTE",2296,2021-02-01
"55","GO","5207","MACRORREGIAO NORDESTE",1428,2021-02-01
"56","GO","5209","MACRORREGIAO CENTRO-NORTE",1203,2021-01-01
"57","GO","5207","MACRORREGIAO NORDESTE",1550,2021-01-01
"58","GO","5206","MACRORREGIAO SUDOESTE",766,2021-01-01
"59","GO","5210","MACRORREGIAO CENTRO SUDESTE",1633,2021-01-01
"60","GO","5208","MACRORREGIAO CENTRO-OESTE",2390,2021-01-01
"61","GO","5208","MACRORREGIAO CENTRO-OESTE",2468,2020-12-01
"62","GO","5210","MACRORREGIAO CENTRO SUDESTE",1600,2020-12-01
"63","GO","5206","MACRORREGIAO SUDOESTE",756,2020-12-01
"64","GO","5209","MACRORREGIAO CENTRO-NORTE",1122,2020-12-01
"65","GO","5207","MACRORREGIAO NORDESTE",1525,2020-12-01
"66","GO","5210","MACRORREGIAO CENTRO SUDESTE",1472,2020-11-01
"67","GO","5208","MACRORREGIAO CENTRO-OESTE",2298,2020-11-01
"68","GO","5209","MACRORREGIAO CENTRO-NORTE",1144,2020-11-01
"69","GO","5206","MACRORREGIAO SUDOESTE",729,2020-11-01
"70","GO","5207","MACRORREGIAO NORDESTE",1419,2020-11-01
"71","GO","5206","MACRORREGIAO SUDOESTE",752,2020-10-01
"72","GO","5209","MACRORREGIAO CENTRO-NORTE",1205,2020-10-01
"73","GO","5208","MACRORREGIAO CENTRO-OESTE",2350,2020-10-01
"74","GO","5207","MACRORREGIAO NORDESTE",1481,2020-10-01
"75","GO","5210","MACRORREGIAO CENTRO SUDESTE",1586,2020-10-01
"76","GO","5209","MACRORREGIAO CENTRO-NORTE",1263,2020-09-01
"77","GO","5208","MACRORREGIAO CENTRO-OESTE",2484,2020-09-01
"78","GO","5207","MACRORREGIAO NORDESTE",1508,2020-09-01
"79","GO","5206","MACRORREGIAO SUDOESTE",747,2020-09-01
"80","GO","5210","MACRORREGIAO CENTRO SUDESTE",1656,2020-09-01
"81","GO","5206","MACRORREGIAO SUDOESTE",757,2020-08-01
"82","GO","5208","MACRORREGIAO CENTRO-OESTE",2435,2020-08-01
"83","GO","5207","MACRORREGIAO NORDESTE",1453,2020-08-01
"84","GO","5210","MACRORREGIAO CENTRO SUDESTE",1564,2020-08-01
"85","GO","5209","MACRORREGIAO CENTRO-NORTE",1178,2020-08-01
"86","GO","5206","MACRORREGIAO SUDOESTE",835,2020-07-01
"87","GO","5207","MACRORREGIAO NORDESTE",1477,2020-07-01
"88","GO","5210","MACRORREGIAO CENTRO SUDESTE",1664,2020-07-01
"89","GO","5208","MACRORREGIAO CENTRO-OESTE",2583,2020-07-01
