"","codibge","mes_ano","total_nasc","model"
"1",5206,"jan-2021",762.1706,"mlp"
"2",5207,"jan-2021",1538.4013671875,"mlp"
"3",5208,"jan-2021",2417.46997070312,"mlp"
"4",5209,"jan-2021",1200.61096191406,"mlp"
"5",5210,"jan-2021",1609.33581542969,"mlp"
"6",5206,"feb-2021",757.7335,"mlp"
"7",5207,"feb-2021",1424.28820800781,"mlp"
"8",5208,"feb-2021",2336.95654296875,"mlp"
"9",5209,"feb-2021",1185.5966796875,"mlp"
"10",5210,"feb-2021",1594.39526367188,"mlp"
"11",5206,"mar-2021",802.75574,"mlp"
"12",5207,"mar-2021",1719.64807128906,"mlp"
"13",5208,"mar-2021",2634.09204101562,"mlp"
"14",5209,"mar-2021",1342.35656738281,"mlp"
"15",5210,"mar-2021",1763.79162597656,"mlp"
"16",5206,"apr-2021",765.94366,"mlp"
"17",5207,"apr-2021",1634.04406738281,"mlp"
"18",5208,"apr-2021",2509.2431640625,"mlp"
"19",5209,"apr-2021",1265.25500488281,"mlp"
"20",5210,"apr-2021",1701.38647460938,"mlp"
"21",5206,"may-2021",768.31793,"mlp"
"22",5207,"may-2021",1609.82727050781,"mlp"
"23",5208,"may-2021",2513.03076171875,"mlp"
"24",5209,"may-2021",1313.20434570312,"mlp"
"25",5210,"may-2021",1710.55676269531,"mlp"
"26",5206,"jun-2021",743.3313,"mlp"
"27",5207,"jun-2021",1506.70764160156,"mlp"
"28",5208,"jun-2021",2425.861328125,"mlp"
"29",5209,"jun-2021",1195.87353515625,"mlp"
"30",5210,"jun-2021",1575.75903320312,"mlp"
"31",5206,"jul-2021",750.1459,"mlp"
"32",5207,"jul-2021",1560.12976074219,"mlp"
"33",5208,"jul-2021",2379.49340820312,"mlp"
"34",5209,"jul-2021",1227.26892089844,"mlp"
"35",5210,"jul-2021",1571.84790039062,"mlp"
"36",5206,"aug-2021",734.2763,"mlp"
"37",5207,"aug-2021",1540.78161621094,"mlp"
"38",5208,"aug-2021",2356.38549804688,"mlp"
"39",5209,"aug-2021",1181.12097167969,"mlp"
"40",5210,"aug-2021",1562.19348144531,"mlp"
"41",5206,"sep-2021",729.0848,"mlp"
"42",5207,"sep-2021",1485.32739257812,"mlp"
"43",5208,"sep-2021",2405.24829101562,"mlp"
"44",5209,"sep-2021",1198.57141113281,"mlp"
"45",5210,"sep-2021",1573.77111816406,"mlp"
"46",5206,"oct-2021",722.0098,"mlp"
"47",5207,"oct-2021",1482.40466308594,"mlp"
"48",5208,"oct-2021",2393.0390625,"mlp"
"49",5209,"oct-2021",1163.14782714844,"mlp"
"50",5210,"oct-2021",1539.54028320312,"mlp"
"51",5206,"nov-2021",718.3785,"mlp"
"52",5207,"nov-2021",1416.73779296875,"mlp"
"53",5208,"nov-2021",2280.32470703125,"mlp"
"54",5209,"nov-2021",1147.79345703125,"mlp"
"55",5210,"nov-2021",1518.09301757812,"mlp"
"56",5206,"dec-2021",731.99164,"mlp"
"57",5207,"dec-2021",1458.50073242188,"mlp"
"58",5208,"dec-2021",2392.779296875,"mlp"
"59",5209,"dec-2021",1173.41186523438,"mlp"
"60",5210,"dec-2021",1523.43774414062,"mlp"
"61",5206,"jan-2022",743.9589,"mlp"
"62",5207,"jan-2022",1584.64184570312,"mlp"
"63",5208,"jan-2022",2377.81103515625,"mlp"
"64",5209,"jan-2022",1216.46350097656,"mlp"
"65",5210,"jan-2022",1572.89611816406,"mlp"
"66",5206,"feb-2022",753.8459,"mlp"
"67",5207,"feb-2022",1460.77746582031,"mlp"
"68",5208,"feb-2022",2296.96215820312,"mlp"
"69",5209,"feb-2022",1223.22302246094,"mlp"
"70",5210,"feb-2022",1564.97265625,"mlp"
"71",5206,"mar-2022",771.8812,"mlp"
"72",5207,"mar-2022",1716.42919921875,"mlp"
"73",5208,"mar-2022",2489.015625,"mlp"
"74",5209,"mar-2022",1345.58764648438,"mlp"
"75",5210,"mar-2022",1705.21166992188,"mlp"
"76",5206,"apr-2022",744.61945,"mlp"
"77",5207,"apr-2022",1648.52709960938,"mlp"
"78",5208,"apr-2022",2388.078125,"mlp"
