codibge,mae,mape,layers,batch_size,input_steps,output_steps,n_preds,seed,ep,jan-2022,feb-2022,mar-2022,apr-2022,may-2022,jun-2022,jul-2022,aug-2022,sept-2022,oct-2022,nov-2022,dec-2022,jan-2023,feb-2023,mar-2023,apr-2023,may-2023,jun-2023,jul-2023,aug-2023,sept-2023,oct-2023,nov-2023,dec-2023,jan-2024,feb-2024,mar-2024,apr-2024,may-2024,jun-2024,jul-2024,aug-2024,sept-2024,oct-2024,nov-2024,dec-2024,jan-2025,feb-2025,mar-2025,apr-2025,may-2025,jun-2025,jul-2025,aug-2025,sept-2025,oct-2025,nov-2025,dec-2025,jan-2026,feb-2026,mar-2026,apr-2026,may-2026,jun-2026,jul-2026,aug-2026,sept-2026,oct-2026,nov-2026,dec-2026
29001,36.5564691717426,6.9546693480478305,"[100, 100, 200]",128,5,5,5,3407,500,552.0416262745857,586.47414457798,621.6117623597383,590.2926473617554,627.2363513112068,632.3196960240602,605.5373725295067,547.8023849725723,553.5664333701134,550.0138725042343,565.6359602808952,526.3429397940636,548.704719543457,567.4771623015404,590.9087036848068,585.0997923612595,648.1473363190889,614.5817556232214,620.2311488389969,569.7698482871056,558.7706062197685,548.7673394680023,521.5889520645142,549.999585211277,515.9978427886963,558.6557250022888,588.4313797950745,576.0872183442116,607.1192048788071,621.5400769114494,577.6133977174759,579.6229814291,562.780300796032,544.8693593144417,540.0953243970871,538.0591855049133,543.7900100946426,552.3805605173111,598.4459919333458,596.0962026715279,610.900362432003,609.1660649776459,600.20109385252,577.7808293700218,551.8898266553879,528.9688919186592,511.1523255109787,534.4547947645187,549.7575135827065,543.2940900325775,580.7206521630287,609.7005728930235,620.7199860662222,617.6928434967995,589.0818853378296,551.3576628565788,556.9662170410156,544.0294151902199,537.3875083327293,533.0646957755089
29002,42.10627939465145,6.4914258550172494,"[200, 100, 100]",64,5,5,5,3407,500,606.9115985482931,618.0123251527548,661.1288293898106,608.8712529689074,608.3300784304738,570.1723997816443,625.9949844479561,587.3221063837409,615.4315338432789,591.5713834911585,606.5802062526345,580.6376893520355,624.0416494160891,621.7037810236216,647.6860077083111,619.9252321943641,598.9705776683986,557.5761388540268,593.6193886213005,611.5809024348855,628.3860950320959,625.1485619693995,606.1102001667023,587.599608451128,615.2686434462667,617.065450809896,606.4988797232509,600.7684984579682,598.965722553432,583.7802035324275,596.7895733453333,595.4365812763572,616.3004931360483,629.7242947369814,613.6525485180318,601.0137472897768,609.8389325886965,595.6004550792277,600.8986196666956,569.4079271033406,574.2146044299006,585.7567492127419,616.1665064096451,623.82583052665,621.0440632551908,600.3417209535837,594.0510387830436,588.7646368853748,606.3357416689396,611.5570932812989,608.1496477052569,597.2541815340519,591.7997018508613,576.4262986518443,604.2587430924177,619.0556145459414,621.8668303340673,599.2403559237719,591.6370570473373,584.8193580806255
29003,27.92791809737684,7.02667673807989,"[50, 100]",128,5,5,5,3407,500,394.9054135084153,407.180065214634,446.7036418914795,452.84126326441765,461.3230237960816,430.7255596518517,427.4381671249867,410.2779117226601,452.98832531273365,436.73305645585066,422.55885720252996,404.267805159092,411.78018677234655,401.96435588598257,437.47338154912,435.5027215480805,467.7891733646393,441.8258554935456,408.5382463932038,434.90899425745016,453.8637319207192,435.05850732326513,428.2392235398293,408.7836476564408,408.8820437788964,410.47355383634573,413.21890908479696,445.8961279690266,446.9592306017876,415.8162488341332,434.54098021984106,422.94448861479765,461.62456683814526,428.82400935888296,434.05770945549017,424.80894118547445,427.67944708466536,416.5028052926064,457.87865632772446,422.9635276794434,456.24687570333487,429.79983180761343,425.420707166195,430.4233606755734,428.85819181799894,416.73793524503714,419.74483752250677,405.41008114814764,416.4382981061936,410.7559230327607,418.088628590107,440.8021388649941,456.83030971884733,418.61927038431173,436.82214170694357,448.8769546151162,441.65731534361845,420.7713376283646,420.6591838598252,425.0410540401936
29004,52.48504161511858,7.597727269803781,"[100, 200, 100]",64,5,5,5,3407,500,722.0495713949203,704.5566191673279,767.1382049322128,767.6445583105087,821.2578582763672,805.1762117147446,753.381388604641,765.9859025478363,700.0645170807838,746.2010771632195,726.7490611374378,692.8067243099213,715.7747812271118,715.023267686367,807.6871929764748,783.4096049964428,837.8514918386936,827.9523968696594,771.9832900166512,722.2210401594639,712.1357268989086,704.9846675097942,718.4650818258524,683.9229604899883,718.6193834245205,715.4226020872593,829.86819678545,797.1655865907669,843.9430012702942,794.4105026423931,763.3242734372616,757.6281077861786,724.3258735239506,729.2910521328449,703.48408177495,703.0609503090382,723.1305553615093,693.238028883934,837.850993424654,799.2446171045303,861.4339686632156,800.6959447562695,768.8533446788788,736.622779995203,728.6954694092274,709.7436504662037,693.6178258955479,690.2989937663078,712.0407702028751,709.5763112604618,846.3633649051189,810.2204914987087,855.8827025592327,778.9838327765465,739.8899545967579,726.6985096037388,714.2205795943737,711.8288207352161,699.3817471861839,686.7631056308746
29005,19.66982310762008,8.094483679127205,"[100, 100, 200]",64,5,5,5,3407,500,249.28066903352737,277.5650461614132,266.5191607475281,280.3971414864063,269.8221906423569,263.61541253328323,235.83240222930908,262.5201849639416,241.90348756313324,253.62278321385384,258.83482307195663,241.68946105241776,263.5333257615566,261.61010563373566,264.8698808848858,265.11955600976944,269.2654627561569,256.3678473830223,257.7151420712471,249.80099630355835,253.24745517969131,250.14357912540436,270.6802853643894,251.61978578567505,259.01609855890274,260.39162877202034,261.2431193590164,259.86878979206085,261.1832706928253,252.05583769083023,254.12411284446716,256.78895688056946,246.0589948296547,260.3199433386326,250.93091243505478,263.2634430527687,250.92721635103226,249.04368031024933,254.6789647936821,271.18944999575615,260.3299518227577,272.99880051612854,261.1082634329796,266.09722834825516,260.61227452754974,253.28584796190262,243.2176918387413,247.81825411319733,257.5217380821705,260.8133252263069,270.0583797097206,262.7051344513893,265.7532856464386,265.73242950439453,264.0081807374954,254.2538407444954,256.1083078980446,247.86519902944565,259.5664059519768,252.42006933689117
29006,103.66581041961908,8.50097823619384,[50],64,5,5,5,3407,500,1312.9958559125662,1259.4752284884453,1506.0257928818464,1383.3904005289078,1462.9638671278954,1345.5186071544886,1319.9066142439842,1355.6604035496712,1323.8103894889355,1299.4026758372784,1256.5370771884918,1191.3157870173454,1241.0311641097069,1221.9824670553207,1518.4870729744434,1418.6869193315506,1537.4537103921175,1367.5335276424885,1422.2199910283089,1331.4546961784363,1353.7925818562508,1298.201709240675,1245.945978462696,1245.1767295002937,1278.2056888192892,1285.4671242535114,1527.71327278018,1365.7923668324947,1524.323030859232,1409.5149578154087,1353.1151321679354,1355.2433546483517,1345.6218103766441,1352.2673323005438,1304.0399470031261,1205.5098584890366,1273.8503587245941,1285.0976518392563,1503.6807243973017,1428.9992938935757,1484.5332334041595,1368.6504442691803,1360.7175871431828,1319.4200723916292,1275.7868548929691,1295.6387482881546,1259.0442130565643,1264.2339624166489,1257.8265759944916,1288.3582553565502,1536.094618320465,1418.5599780231714,1525.6092170029879,1377.2640272676945,1423.5584661662579,1376.6794347167015,1346.7300862669945,1373.2646521925926,1330.1874011009932,1201.6691401004791
29007,27.131900215614603,6.101997123536111,"[50, 100]",64,5,5,5,3407,500,451.2476167604328,459.4349819421769,495.809149382636,466.06816165894276,476.0674670338631,459.82911031506967,456.1998117715121,480.5439808145166,477.63861597329384,449.90166842937475,480.24394349008804,472.92315306514513,449.61804436892277,462.4032164216042,477.52016563713556,463.0919531732798,505.29992306232464,456.03252890706074,493.8508333116771,516.892660226673,474.4860046822579,468.9505322873593,468.9026181250811,467.8066150397063,482.5334744676948,493.1316161807627,489.61417657323193,472.4934386834503,502.91207837313425,423.35110548138624,476.4347861316056,449.994585223496,466.23953266814357,495.28416396677505,460.080238243565,443.54300193488604,503.6527341585607,483.60448343306786,473.0279398411513,497.93197299167525,467.89552662521606,465.6477941125632,490.5155089888722,438.67194274067884,453.1002307236195,458.076977191493,452.29087785631424,445.8952784836293,428.1918828710914,449.30357885360723,480.8283448945732,473.0811376422645,457.04384812712675,493.22309575229895,482.67355158180004,473.3530009537936,489.76046985201543,440.53769028186804,469.7559676021338,468.6674533803017
29008,13.932960597705096,5.8613145083668705,"[100, 200, 200]",128,5,5,5,3407,500,220.38626196980474,221.4396049082279,245.26635084487498,256.4517146386206,252.62627859413624,255.81369030848145,224.80539758503434,234.05684602260587,224.50008492171762,234.12479890882966,223.11526791751382,227.74346733838317,223.77740009129045,235.53083569556472,238.7084827572107,248.4547607898712,254.3726356588304,250.7066500633955,243.27604265511033,247.6280667185783,236.61797158420083,250.66602493077514,239.39492188394067,243.04601771384475,230.4317271262407,235.94866269081828,245.13231635838744,238.78327563405034,252.91298136860132,243.95607417076823,226.3236646801233,234.76632229238746,235.55254349112508,229.2063439786434,226.52231526374814,222.61773082613942,231.54035413265225,240.91350325942037,233.62539955973622,233.00344842672345,241.59144119918344,243.30492814630267,242.20652306079862,235.84273067861793,229.82769778370854,238.69306544959542,231.74925298988816,237.42533545941112,229.7400311231613,226.4031561464071,230.70378462970254,238.82043587416408,238.3077450022101,252.24696851521728,236.43770445138213,237.41230648756024,230.14556214213368,235.37010079622266,238.55573955923316,231.27008861303327
29009,31.89831270352006,9.737465010547245,"[100, 200, 100]",128,5,5,5,3407,500,402.07031947374344,378.76515854895115,409.72230975329876,387.4008564352989,425.6058048531413,380.2514972239733,372.1848039031029,356.00911659002304,343.273675262928,358.4189398288727,368.034901291132,366.28032867610455,385.6405748128891,364.0609311014414,406.64751474559307,384.52718053758144,389.77267798781395,368.79984867572784,362.6235110759735,350.9990705251694,347.2997976541519,353.5212857723236,349.7697694301605,340.1368914246559,371.50629629194736,374.76731483638287,407.38005862385035,390.9795584231615,388.9407070428133,369.04275995492935,353.79749369621277,360.03203523159027,346.7210365533829,346.82476353645325,367.9719606488943,370.7018831819296,388.07861898839474,390.127206414938,399.73665979504585,384.70027056336403,366.0806847810745,351.64459627866745,352.86646169424057,337.0658142566681,338.41376584768295,351.9007472395897,368.96506902575493,382.6472984701395,381.3263924866915,389.7293789386749,394.02166214585304,373.2179237604141,370.4559115767479,368.637627184391,352.6382131576538,356.3793508410454,346.1501060128212,373.19177408516407,371.6663422137499,399.61728286743164
29010,24.37533681752778,4.917597297306748,"[50, 200, 200]",128,5,5,5,3407,500,528.2770142853259,492.48677510023106,543.6569752395152,510.7186646759509,553.3595458492636,538.1508569717406,537.6778259426354,491.0124447941779,494.4835448265075,503.6291861832141,486.45552748441685,505.18684569001186,497.130765646696,493.1052359640597,557.6301273703574,532.830175846815,557.4676512405275,535.2697022259234,532.3364657536148,493.63764256238926,494.3064585626124,518.4408969581126,473.7782998085021,525.4721691608428,508.5865240395068,505.7414119839667,531.0480069220065,518.3997711241244,537.0651909783481,521.6875188052653,521.065794110298,524.11899882555,478.54984915256495,506.99663615226734,487.41996811330307,516.5757502019404,505.76872119307507,522.6190419793128,522.4195578694342,534.8670797646045,538.851760804653,511.88646033406246,519.6909364759921,522.5626706182956,481.9929294288157,503.1999182105063,495.1537663042544,507.1233897283672,516.3725845217704,505.4819452166556,513.7508809268473,507.6448306739329,531.174938134849,500.49990609288204,534.042103499174,498.55194547772396,488.6694434881209,516.1853592991828,491.0156227350234,507.0013493821024
