regiao_pad;regiao;cod_uf;uf_pad;uf;uf_sigla;cod_macrorregiao;macrorregiao_pad;macrorregiao;cod_regsaud;regiao_saude_pad;regiao_saude;cod_municipio;cod_municipiodv;municipio_pad;municipio;latitude;longitude
REGIAO NORTE;Região Norte;11;RONDONIA;Rondônia;RO;1101;MACRORREGIONAL II (CACOAL);Macrorregional II (Cacoal);11003;CENTRAL;Central;110025;1100254;PRESIDENTE MEDICI;Presidente Médici;-11.173.210;-61.909.440
REGIAO NORTE;Região Norte;11;RONDONIA;Rondônia;RO;1102;MACRORREGIAO I - PORTO VELHO;Macrorregião I - Porto Velho;11001;VALE DO JAMARI;Vale do Jamari;110045;1100452;BURITIS;Buritis;-10.209.810;-63.829.680
REGIAO NORTE;Região Norte;12;ACRE;Acre;AC;1201;MACRO UNICA - AC;Macro única - AC;12003;JURUA E TARAUACA/ENVIRA;Juruá e Tarauacá/Envira;120060;1200609;TARAUACA;Tarauacá;-8.155.670;-70.755.500
REGIAO NORTE;Região Norte;15;PARA;Pará;PA;1511;MACRORREGIONAL II;Macrorregional II;15007;METROPOLITANA II;Metropolitana II;150275;1502756;CONCORDIA DO PARA;Concórdia do Pará;-1.984.520;-47.949.890
REGIAO NORTE;Região Norte;17;TOCANTINS;Tocantins;TO;1701;MACRORREGIAO NORTE;Macrorregião Norte;17004;CERRADO TOCANTINS ARAGUAIA;Cerrado Tocantins Araguaia;170830;1708304;GOIANORTE;Goianorte;-8.770.520;-48.936.890
REGIAO NORTE;Região Norte;17;TOCANTINS;Tocantins;TO;1701;MACRORREGIAO NORTE;Macrorregião Norte;17002;BICO DO PAPAGAIO;Bico do Papagaio;171880;1718808;SAMPAIO;Sampaio;-5.349.300;-47.875.790
REGIAO NORTE;Região Norte;17;TOCANTINS;Tocantins;TO;1702;MACRORREGIAO CENTRO-SUL;Macrorregião Centro-Sul;17008;AMOR PERFEITO;Amor Perfeito;170370;1703701;BREJINHO DE NAZARE;Brejinho de Nazaré;-11.010.810;-48.558.660
REGIAO NORTE;Região Norte;17;TOCANTINS;Tocantins;TO;1702;MACRORREGIAO CENTRO-SUL;Macrorregião Centro-Sul;17007;CANTAO;Cantão;170610;1706100;CRISTALANDIA;Cristalândia;-10.590.720;-49.186.300
REGIAO NORDESTE;Região Nordeste;21;MARANHAO;Maranhão;MA;2109;MACRORREGIAO SUL;Macrorregião Sul;21008;IMPERATRIZ;Imperatriz;210550;2105500;JOAO LISBOA;João Lisboa;-5.453.660;-47.405.040
REGIAO NORDESTE;Região Nordeste;21;MARANHAO;Maranhão;MA;2109;MACRORREGIAO SUL;Macrorregião Sul;21003;BALSAS;Balsas;211080;2110807;SAO FELIX DE BALSAS;São Félix de Balsas;-7.084.690;-44.811.450
REGIAO NORDESTE;Região Nordeste;21;MARANHAO;Maranhão;MA;2110;MACRORREGIAO NORTE;Macrorregião Norte;21006;CHAPADINHA;Chapadinha;210015;2100154;AGUA DOCE DO MARANHAO;Água Doce do Maranhão;-2.840.280;-42.115.550
REGIAO NORDESTE;Região Nordeste;21;MARANHAO;Maranhão;MA;2110;MACRORREGIAO NORTE;Macrorregião Norte;21016;SAO LUIS;São Luís;210020;2100204;ALCANTARA;Alcântara;-2.403.280;-44.417.010
REGIAO NORDESTE;Região Nordeste;21;MARANHAO;Maranhão;MA;2110;MACRORREGIAO NORTE;Macrorregião Norte;21014;SANTA INES;Santa Inês;210465;2104651;GOVERNADOR NEWTON BELLO;Governador Newton Bello;-3.429.700;-45.674.500
REGIAO NORDESTE;Região Nordeste;21;MARANHAO;Maranhão;MA;2110;MACRORREGIAO NORTE;Macrorregião Norte;21002;BACABAL;Bacabal;211140;2111409;SAO LUIS GONZAGA DO MARANHAO;São Luís Gonzaga do Maranhão;-4.373.920;-44.662.710
REGIAO NORDESTE;Região Nordeste;21;MARANHAO;Maranhão;MA;2111;MACRORREGIAO LESTE;Macrorregião Leste;21015;SAO JOAO DOS PATOS;São João dos Patos;210150;2101509;BARAO DE GRAJAU;Barão de Grajaú;-6.758.960;-43.026.450
REGIAO NORDESTE;Região Nordeste;21;MARANHAO;Maranhão;MA;2111;MACRORREGIAO LESTE;Macrorregião Leste;21005;CAXIAS;Caxias;210220;2102200;BURITI;Buriti;-3.945.570;-42.925.110
REGIAO NORDESTE;Região Nordeste;21;MARANHAO;Maranhão;MA;2111;MACRORREGIAO LESTE;Macrorregião Leste;21015;SAO JOAO DOS PATOS;São João dos Patos;211065;2110658;SAO DOMINGOS DO AZEITAO;São Domingos do Azeitão;-6.804.430;-44.650.420
REGIAO NORDESTE;Região Nordeste;22;PIAUI;Piauí;PI;2207;SEMI-ARIDO;Semi-árido;22009;VALE DO RIO GUARIBAS;Vale do Rio Guaribas;220180;2201804;BOCAINA;Bocaina;-6.954.840;-41.322.340
REGIAO NORDESTE;Região Nordeste;22;PIAUI;Piauí;PI;2207;SEMI-ARIDO;Semi-árido;22010;VALE DO SAMBITO;Vale do Sambito;220470;2204709;INHUMA;Inhuma;-6.667.120;-41.710.190
REGIAO NORDESTE;Região Nordeste;22;PIAUI;Piauí;PI;2207;SEMI-ARIDO;Semi-árido;22010;VALE DO SAMBITO;Vale do Sambito;220690;2206902;NOVO ORIENTE DO PIAUI;Novo Oriente do Piauí;-6.449.410;-41.928.720
REGIAO NORDESTE;Região Nordeste;22;PIAUI;Piauí;PI;2209;LITORAL;Litoral;22003;COCAIS;Cocais;220667;2206670;MORRO DO CHAPEU DO PIAUI;Morro do Chapéu do Piauí;-3.742.260;-42.309.060
REGIAO NORDESTE;Região Nordeste;22;PIAUI;Piauí;PI;2210;CERRADOS;Cerrados;22002;CHAPADA DAS MANGABEIRAS;Chapada das Mangabeiras;220110;2201101;AVELINO LOPES;Avelino Lopes;-10.134.750;-43.941.510
REGIAO NORDESTE;Região Nordeste;22;PIAUI;Piauí;PI;2210;CERRADOS;Cerrados;22011;VALE DOS RIOS PIAUI E ITAUEIRAS;Vale dos Rios Piauí e Itaueiras;220230;2202307;CANTO DO BURITI;Canto do Buriti;-8.108.230;-42.944.020
REGIAO NORDESTE;Região Nordeste;22;PIAUI;Piauí;PI;2210;CERRADOS;Cerrados;22002;CHAPADA DAS MANGABEIRAS;Chapada das Mangabeiras;220290;2202901;CORRENTE;Corrente;-10.440.940;-45.163.310
REGIAO NORDESTE;Região Nordeste;22;PIAUI;Piauí;PI;2210;CERRADOS;Cerrados;22011;VALE DOS RIOS PIAUI E ITAUEIRAS;Vale dos Rios Piauí e Itaueiras;220530;2205300;JERUMENHA;Jerumenha;-7.084.630;-43.502.740
REGIAO NORDESTE;Região Nordeste;22;PIAUI;Piauí;PI;2210;CERRADOS;Cerrados;22011;VALE DOS RIOS PIAUI E ITAUEIRAS;Vale dos Rios Piauí e Itaueiras;220590;2205904;MANOEL EMIDIO;Manoel Emídio;-8.011.360;-43.875.470
REGIAO NORDESTE;Região Nordeste;23;CEARA;Ceará;CE;2308;3ª MACRO - CARIRI;3ª Macro - Cariri;23020;20ª REGIAO CRATO;20ª Região Crato;230130;2301307;ARARIPE;Araripe;-7.206.180;-40.137.450
REGIAO NORDESTE;Região Nordeste;23;CEARA;Ceará;CE;2309;2ª MACRO - SOBRAL;2ª Macro - Sobral;23015;15ª REGIAO CRATEUS;15ª Região Crateús;230590;2305902;IPUEIRAS;Ipueiras;-4.543.790;-40.715.700
REGIAO NORDESTE;Região Nordeste;23;CEARA;Ceará;CE;2309;2ª MACRO - SOBRAL;2ª Macro - Sobral;23012;12ª REGIAO ACARAU;12ª Região Acaraú;230780;2307809;MARCO;Marco;-3.120.710;-40.151.640
