NU_COMPETENCIA;CO_CIR;NO_REGIAO_SAUDE;SG_UF;QT_EQUIPE_SF;QT_EQUIPE_AB_PARAMETRIZADA;QT_EQUIPE_AB_EQUIVALENTE_CH;QT_EQUIPE_SF_AB;SG_REGIAO;NO_REGIAO;QT_POPULACAO;QT_COBERTURA_SF;PC_COBERTURA_SF;QT_COBERTURA_AB;PC_COBERTURA_AB;enf;medicos
202012;52001;Central;GO;328.0;39;47.0;414.0;CO;CENTRO-OESTE;1910923.0;1034739.0;54.14;1277289.0;66.84;37,07273657;41,09849161
202012;52002;Centro Sul;GO;175.0;0;25.0;200.0;CO;CENTRO-OESTE;944218.0;545042.0;57.72;599161.0;63.45;29,61554202;29,98863579
202012;52003;Entorno Norte;GO;65.0;0;11.0;76.0;CO;CENTRO-OESTE;269355.0;212195.0;78.77;215195.0;79.89;32,55492997;29,50513607
202012;52004;Entorno Sul;GO;138.0;0;49.0;187.0;CO;CENTRO-OESTE;910035.0;475026.0;52.19;589044.0;64.72;35,65770138;31,52516553
202012;52005;Estrada de Ferro;GO;54.0;2;8.0;64.0;CO;CENTRO-OESTE;314184.0;172640.0;54.94;196865.0;62.65;44,43308329;45,28615229
202012;52006;Nordeste I;GO;14.0;0;0.0;14.0;CO;CENTRO-OESTE;46464.0;43404.0;93.41;43404.0;93.41;37,81153224;33,03692582
202012;52007;Nordeste II;GO;30.0;1;4.0;35.0;CO;CENTRO-OESTE;104943.0;85607.0;81.57;94907.0;90.43;48,32223248;41,74306118
202012;52008;Norte;GO;39.0;1;5.0;45.0;CO;CENTRO-OESTE;136519.0;108264.0;79.3;111264.0;81.5;39,60892979;32,21170726
202012;52009;Oeste I;GO;38.0;0;1.0;39.0;CO;CENTRO-OESTE;113882.0;107453.0;94.35;107453.0;94.35;46,42178941;37,1317591
202012;52010;Oeste II;GO;44.0;0;7.0;51.0;CO;CENTRO-OESTE;115958.0;115958.0;100.0;115958.0;100.0;59,911081;64,9857333
202012;52011;Pirineus;GO;104.0;1;30.0;135.0;CO;CENTRO-OESTE;521757.0;340316.0;65.22;398464.0;76.36;46,01911186;34,36828122
202012;52012;Rio Vermelho;GO;60.0;0;3.0;63.0;CO;CENTRO-OESTE;199298.0;184570.0;92.61;184570.0;92.61;40,67886112;41,23120832
202012;52013;São Patrício I;GO;54.0;0;2.0;56.0;CO;CENTRO-OESTE;166102.0;144696.0;87.11;144696.0;87.11;45,1385721;34,99656033
202012;52014;Serra da Mesa;GO;39.0;0;6.0;45.0;CO;CENTRO-OESTE;129150.0;121580.0;94.13;124162.0;96.13;37,9960354;35,15595531
202012;52015;Sudoeste I;GO;80.0;0;24.0;104.0;CO;CENTRO-OESTE;466594.0;248837.0;53.33;316217.0;67.77;45,27710418;43,89725621
202012;52016;Sudoeste II;GO;55.0;2;6.0;63.0;CO;CENTRO-OESTE;232723.0;189246.0;81.31;207784.0;89.28;36,9190727;38,22163216
202012;52017;Sul;GO;65.0;0;7.0;72.0;CO;CENTRO-OESTE;253654.0;212110.0;83.62;222790.0;87.83;58,29824096;54,13838716
202012;52018;São Patrício II;GO;48.0;0;11.0;59.0;CO;CENTRO-OESTE;182595.0;154998.0;84.88;170662.0;93.46;52,94680425;55,07775908
