Real;Predicted;mes_ano
7570;;01/01/2017 00:00
7509;;01/02/2017 00:00
9004;;01/03/2017 00:00
8369;;01/04/2017 00:00
8700;;01/05/2017 00:00
8348;;01/06/2017 00:00
8187;;01/07/2017 00:00
8203;;01/08/2017 00:00
7957;;01/09/2017 00:00
8101;;01/10/2017 00:00
7760;;01/11/2017 00:00
7807;;01/12/2017 00:00
8123;;01/01/2018 00:00
7551;;01/02/2018 00:00
9010;;01/03/2018 00:00
9033;;01/04/2018 00:00
8980;;01/05/2018 00:00
8160;;01/06/2018 00:00
8140;;01/07/2018 00:00
8341;;01/08/2018 00:00
8114;;01/09/2018 00:00
8014;;01/10/2018 00:00
7666;;01/11/2018 00:00
7734;;01/12/2018 00:00
8524;7687;01/01/2019 00:00
8037;7848;01/02/2019 00:00
8728;8554;01/03/2019 00:00
8357;8361;01/04/2019 00:00
8624;8517;01/05/2019 00:00
7815;8090;01/06/2019 00:00
8063;7995;01/07/2019 00:00
7796;7735;01/08/2019 00:00
7714;7738;01/09/2019 00:00
7678;7624;01/10/2019 00:00
7251;7257;01/11/2019 00:00
7521;7436;01/12/2019 00:00
7834;7726;01/01/2020 00:00
7392;7769;01/02/2020 00:00
8553;8547;01/03/2020 00:00
8366;8269;01/04/2020 00:00
8177;8365;01/05/2020 00:00
7660;7861;01/06/2020 00:00
7833;7778;01/07/2020 00:00
7387;7661;01/08/2020 00:00
7658;7767;01/09/2020 00:00
7374;7680;01/10/2020 00:00
7062;7417;01/11/2020 00:00
7471;7480;01/12/2020 00:00
7542;8487;01/01/2021 00:00
7240;7771;01/02/2021 00:00
8494;8888;01/03/2021 00:00
7887;8625;01/04/2021 00:00
7896;8720;01/05/2021 00:00
7361;8451;01/06/2021 00:00
7466;8117;01/07/2021 00:00
7363;8113;01/08/2021 00:00
7524;8135;01/09/2021 00:00
7447;8051;01/10/2021 00:00
7290;7615;01/11/2021 00:00
7449;7844;01/12/2021 00:00
;8140;01/01/2022 00:00
;7703;01/02/2022 00:00
;8755;01/03/2022 00:00
;8687;01/04/2022 00:00
;8576;01/05/2022 00:00
;8336;01/06/2022 00:00
;8129;01/07/2022 00:00
;8167;01/08/2022 00:00
;8131;01/09/2022 00:00
;8034;01/10/2022 00:00
;7685;01/11/2022 00:00
;7928;01/12/2022 00:00
;8156;01/01/2023 00:00
;7913;01/02/2023 00:00
;8677;01/03/2023 00:00
;8647;01/04/2023 00:00
;8674;01/05/2023 00:00
;8387;01/06/2023 00:00
;8109;01/07/2023 00:00
;8125;01/08/2023 00:00
;8194;01/09/2023 00:00
;8057;01/10/2023 00:00
;7797;01/11/2023 00:00
;7940;01/12/2023 00:00
;8154;01/01/2024 00:00
;7918;01/02/2024 00:00
;8671;01/03/2024 00:00
;8657;01/04/2024 00:00
;8622;01/05/2024 00:00
;8374;01/06/2024 00:00
