"","uf","ibge","municipio","cnes","estabelecimento","pop_vinc","bnf_pbf","perc_benef_pbf"
"1","AC","120001","ACRELÂNDIA",3382745,"UNIDADE DE SAUDE DA FAMILIA CICERO BATISTA",1675,405,0.24
"2","AC","120010","BRASILÉIA",3042553,"ESF JOSE MARIA DE SOUZA SANTOS",2765,699,0.25
"3","AC","120013","BUJARI",2002884,"U S F MARIA IZA VIANA DE CASTRO",4953,1159,0.23
"4","AC","120020","CRUZEIRO DO SUL",2001896,"UNIDADE DE SAUDE DA FAMILIA JOSE TIMOTIO DE OLIVEIRA",2956,1310,0.44
"5","AC","120020","CRUZEIRO DO SUL",7247435,"UNIDADE DE SAUDE DA FAMILIA RAIMUNDO CELSO LIMA VERDE",6131,2200,0.36
"6","AC","120025","EPITACIOLÂNDIA",2003112,"ESF SAO CRISTOVAO",982,288,0.29
"7","AC","120030","FEIJÓ",2002825,"U S F FRANCISCA XAVIER FERREIRA",1306,392,0.3
"8","AC","120032","JORDÃO",5354072,"UNIDADE DE SAUDE DA FAMILIA ANTONIO RODRIGUES DOURADO",4848,1307,0.27
"9","AC","120033","MÂNCIO LIMA",899593,"UBS LINA BANDEIRA DA ROCHA",241,100,0.41
"10","AC","120038","PLÁCIDO DE CASTRO",6411312,"U S F LUCIO ALVES DA SILVA",2293,659,0.29
"11","AC","120038","PLÁCIDO DE CASTRO",2002922,"U S F JOAO DE DEUS",1740,462,0.27
"12","AC","120039","PORTO WALTER",9315578,"UBS FRANCISCA DAS CHAGAS LUSTOSA",870,445,0.51
"13","AC","120039","PORTO WALTER",9934499,"UBS MARIA AUGUSTA DA CONCEICAO SILVA",2443,1177,0.48
"14","AC","120040","RIO BRANCO",2003279,"USF BELO JARDIM III LIBERDADE CATUABA VISTA ALEGRE RURAL",1183,319,0.27
"15","AC","120040","RIO BRANCO",2001837,"USF SANTA INES I",4770,902,0.19
"16","AC","120043","SANTA ROSA DO PURUS",2001772,"CENTRO DE SAUDE PAULO ALCIONE MARQUES",3700,1235,0.33
"17","AC","120045","SENADOR GUIOMARD",9618902,"UNIDADE SAUDE DA FAMILIA MARIA RAIMUNDA MENDONCA",1971,564,0.29
"18","AC","120050","SENA MADUREIRA",2002566,"UNIDADE BASICA DE SAUDE LAURO FONTES DA SILVA",3062,730,0.24
"19","AC","120050","SENA MADUREIRA",2000938,"UNIDADE BASICA DE SAUDE RICIOTI TAMBURINI",2369,957,0.4
"20","AC","120060","TARAUACÁ",3810771,"UNIDADE DE S DA FAMILIA DR JOSE LEONCIO GOMES RODRIGUES",4255,1550,0.36
"21","AC","120060","TARAUACÁ",5174678,"USF PADRE HUBERT GROSSHEIM",4327,1988,0.46
"22","AC","120060","TARAUACÁ",3462366,"UNIDADE DE SAUDE DA FAMILIA MARIA ESPANHOL DA SILVA",5298,2301,0.43
"23","AC","120070","XAPURI",2001217,"UNIDADE SAUDE DA FAMILIA JOSE FADUL",3152,669,0.21
"24","AC","120080","PORTO ACRE",3323293,"UNIDADE DE SAUDE DA FAMILIA DANIEL GLENDSON DE LUCENA",3270,856,0.26
"25","AC","120001","ACRELÂNDIA",3638685,"UNIDADE DE SAUDE DA FAMILIA JOAO DANIEL DAMASCENO",1797,540,0.3
"26","AC","120005","ASSIS BRASIL",3797554,"UNIDADE BASICA DE SAUDE ANTONIO ALVES CAVALCANTE",3509,1284,0.37
"27","AC","120010","BRASILÉIA",2001357,"ESF PEDRO OLIVEIRA DE SOUZA",3162,1478,0.47
"28","AC","120010","BRASILÉIA",7058322,"ESF ANTONIO MONTEIRO DOS REIS",3273,929,0.28
"29","AC","120010","BRASILÉIA",9830464,"ESF ANTONIO CORREIA DA CRUZ",2109,1004,0.48
"30","AC","120020","CRUZEIRO DO SUL",2000326,"UNIDADE DE SAUDE DA FAMILIA GEOSETE COELHO MARIANO",5578,1732,0.31
"31","AC","120020","CRUZEIRO DO SUL",2000547,"UNIDADE DE SAUDE DA FAMILIA LUIZ GONZAGA",2158,801,0.37
"32","AC","120020","CRUZEIRO DO SUL",2002914,"UNIDADE SAUDE DA FAMILIA 25 DE AGOSTO",7503,1688,0.22
"33","AC","120020","CRUZEIRO DO SUL",6270638,"UNIDADE DE SAUDE DA FAMILIA FRANCISCO PEREIRA DANTAS",2042,501,0.25
"34","AC","120020","CRUZEIRO DO SUL",7232489,"UNIDADE DE SAUDE DA FAMILIA FRANCISCO SOUZA DOS SANTOS",7181,1982,0.28
"35","AC","120033","MÂNCIO LIMA",837822,"UBS MARIA RODRIGUES DE MATOS",110,48,0.44
