"","uf","ibge","municipio","cnes","estabelecimento","latitude","longitude","link","pop_vinc","qt_bnf_auxilio_brasil","perc_benef","classificacao","equipes","medicos","enfermeiros","tecnicos","acs","pdte_anual_medicos","pdte_anual_enfermeiros","pdte_anual_tecnicos","pdte_anual_acs"
"1","GO","520870","GOIÂNIA",2338505,"CENTRO DE SAUDE JARDIM BALNEARIO MEIA PONTE","-16.6130121","-49.2993843",NA,9903,1008,0.101787337170554,"média vulnerabilidade",3.9612,3.9612,3.9612,7.9224,13.204,339.6095208,226.4063472,905.6253888,503.125216
"2","GO","520870","GOIÂNIA",2339358,"CENTRO DE SAUDE VILA BOA","-16.7305535","-49.315472",NA,7337,427,0.0581981736404525,"baixa vulnerabilidade",2.09628571428571,2.09628571428571,2.09628571428571,4.19257142857143,9.78266666666667,179.722959428571,119.815306285714,479.261225142857,372.758730666667
"3","GO","520870","GOIÂNIA",2506718,"USF GOIANIA VIVA","-16.696575","-49.3468526",NA,11724,1036,0.0883657454793586,"média vulnerabilidade",4.6896,4.6896,4.6896,9.3792,15.632,402.0581664,268.0387776,1072.1551104,595.641728
"4","GO","520870","GOIÂNIA",2506416,"USF SAO CARLOS","-16.5930609","-49.3459451",NA,16619,2563,0.154221072266683,"alta vulnerabilidade",8.3095,8.3095,8.3095,16.619,22.1586666666667,712.406673,474.937782,1899.751128,844.333834666667
"5","GO","520870","GOIÂNIA",6949231,"USF JARDIM GUANABARA III","-16.6121376","-49.2175059",NA,9468,677,0.0715040135192226,"baixa vulnerabilidade",2.70514285714286,2.70514285714286,2.70514285714286,5.41028571428571,12.624,231.922717714286,154.615145142857,618.460580571429,481.024896
"6","GO","520870","GOIÂNIA",3989607,"USF BAIRRO GOIA","-16.6868948","-49.3317098",NA,7962,619,0.0777442853554383,"baixa vulnerabilidade",2.27485714285714,2.27485714285714,2.27485714285714,4.54971428571429,10.616,195.032602285714,130.021734857143,520.086939428571,404.512064
"7","GO","520870","GOIÂNIA",5411696,"USF JARDIM DOM FERNANDO","-16.6665671","-49.1899152",NA,9366,926,0.0988682468503096,"média vulnerabilidade",3.7464,3.7464,3.7464,7.4928,12.488,321.1938576,214.1292384,856.5169536,475.842752
"8","GO","520870","GOIÂNIA",505994,"CENTRO DE SAUDE GOIA",NA,NA,NA,979,118,0.120531154239019,"alta vulnerabilidade",0.4895,0.4895,0.4895,0.979,1.30533333333333,41.966793,27.977862,111.911448,49.7384213333333
"9","GO","520870","GOIÂNIA",2338491,"CENTRO DE SAUDE CRIMEIA LESTE","-16.6444168","-49.2612965",NA,5857,432,0.0737578965340618,"baixa vulnerabilidade",1.67342857142857,1.67342857142857,1.67342857142857,3.34685714285714,7.80933333333333,143.469725142857,95.6464834285714,382.585933714286,297.566837333333
"10","GO","520870","GOIÂNIA",2339293,"CENTRO DE SAUDE DR AFONSO HONORATO DA SILVA E SOUZA","-16.6972803","-49.2229364",NA,7832,637,0.0813329928498468,"média vulnerabilidade",3.1328,3.1328,3.1328,6.2656,10.4426666666667,268.5874752,179.0583168,716.2332672,397.907370666667
"11","GO","520870","GOIÂNIA",2339544,"CENTRO DE SAUDE HORTENCIA MENDONCA VILA REDENCAO","-16.720313","-49.2462916",NA,7875,691,0.0877460317460318,"média vulnerabilidade",3.15,3.15,3.15,6.3,10.5,270.0621,180.0414,720.1656,400.092
