"","uf","ibge","municipio","cnes","estabelecimento","pop_vinc","qt_bnf_auxilio_brasil","perc_benef","classificacao","equipes","medicos","enfermeiros","tecnicos","acs"
"1","GO","520005","ABADIA DE GOIÁS",9655093,"UBS GORGONIO ALVES FORTES",11366,1563,0.137515396797466,"baixa vulnerabilidade",3.24742857142857,3.24742857142857,3.24742857142857,6.49485714285714,15.1546666666667
"2","GO","520005","ABADIA DE GOIÁS",9348352,"UBS RECANTO DOS DOURADOS",3393,730,0.215148835838491,"alta vulnerabilidade",1.6965,1.6965,1.6965,3.393,4.524
"3","GO","520010","ABADIÂNIA",6937756,"UBS LINDO HORIZONTE",4958,694,0.139975796692215,"alta vulnerabilidade",2.479,2.479,2.479,4.958,6.61066666666667
"4","GO","520010","ABADIÂNIA",2383527,"UBS PLANALMIRA",2694,300,0.111358574610245,"média vulnerabilidade",1.0776,1.0776,1.0776,2.1552,3.592
"5","GO","520010","ABADIÂNIA",3905683,"UBS EDUARDO ALMEIDA BALBINO",3487,595,0.170633782621164,"alta vulnerabilidade",1.7435,1.7435,1.7435,3.487,4.64933333333333
"6","GO","520013","ACREÚNA",801658,"U S F CANADA",1434,124,0.0864714086471409,"baixa vulnerabilidade",0.409714285714286,0.409714285714286,0.409714285714286,0.819428571428571,1.912
"7","GO","520015","ADELÂNDIA",2535769,"UBS LOURIVON DINIZ LINHARES",3012,456,0.151394422310757,"baixa vulnerabilidade",0.860571428571429,0.860571428571429,0.860571428571429,1.72114285714286,4.016
"8","GO","520017","ÁGUA FRIA DE GOIÁS",3526615,"UNIDADE DE SAUDE DA FAMILIA FRANCISCA DUARTE TAVARES",1953,462,0.236559139784946,"alta vulnerabilidade",0.9765,0.9765,0.9765,1.953,2.604
"9","GO","520025","ÁGUAS LINDAS DE GOIÁS",4070577,"POSTO PSF CAMPING CLUB",8060,1465,0.181761786600496,"baixa vulnerabilidade",2.30285714285714,2.30285714285714,2.30285714285714,4.60571428571429,10.7466666666667
"10","GO","520025","ÁGUAS LINDAS DE GOIÁS",7570546,"POSTO PSF JARDIM PINHEIROS",6764,1625,0.240242460082791,"média vulnerabilidade",2.7056,2.7056,2.7056,5.4112,9.01866666666667
"11","GO","520082","AMARALINA",3001482,"CENTRO DE SAUDE DE AMARALINA",2627,456,0.173582032736962,"baixa vulnerabilidade",0.750571428571429,0.750571428571429,0.750571428571429,1.50114285714286,3.50266666666667
"12","GO","520110","ANÁPOLIS",2371545,"USF RECANTO DO SOL",12141,1110,0.0914257474672597,"média vulnerabilidade",4.8564,4.8564,4.8564,9.7128,16.188
"13","GO","520110","ANÁPOLIS",2383764,"USF ALEXANDRINA",10467,460,0.0439476449794593,"baixa vulnerabilidade",2.99057142857143,2.99057142857143,2.99057142857143,5.98114285714286,13.956
"14","GO","520110","ANÁPOLIS",7298641,"USF JARDIM DAS OLIVEIRAS",3922,185,0.0471698113207547,"baixa vulnerabilidade",1.12057142857143,1.12057142857143,1.12057142857143,2.24114285714286,5.22933333333333
"15","GO","520110","ANÁPOLIS",2440733,"USF DOM MANOEL",4008,248,0.06187624750499,"média vulnerabilidade",1.6032,1.6032,1.6032,3.2064,5.344
"16","GO","520130","ANICUNS",2769395,"UBS JOAQUIM ANTONIO DIAS SAO VICENTE",3803,713,0.1874835656061,"média vulnerabilidade",1.5212,1.5212,1.5212,3.0424,5.07066666666667
"17","GO","520140","APARECIDA DE GOIÂNIA",2589753,"UNIDADE BASICA DE SAUDE INDEPENDENCIA MANSOES",8509,1321,0.155247385121636,"alta vulnerabilidade",4.2545,4.2545,4.2545,8.509,11.3453333333333
"18","GO","520140","APARECIDA DE GOIÂNIA",3011577,"UNIDADE BASICA DE SAUDE PARQUE TRINDADE",7760,607,0.0782216494845361,"baixa vulnerabilidade",2.21714285714286,2.21714285714286,2.21714285714286,4.43428571428571,10.3466666666667
"19","GO","520140","APARECIDA DE GOIÂNIA",5295041,"UNIDADE BASICA DE SAUDE BANDEIRANTES",8874,848,0.095560063105702,"média vulnerabilidade",3.5496,3.5496,3.5496,7.0992,11.832
"20","GO","520140","APARECIDA DE GOIÂNIA",6041426,"UNIDADE BASICA DE SAUDE JARDIM NOVA OLINDA",5628,625,0.111051883439943,"média vulnerabilidade",2.2512,2.2512,2.2512,4.5024,7.504
"21","GO","520170","ARAGARÇAS",2440318,"UNIDADE DE SAUDE DA FAMILIA PSF 305",3225,461,0.142945736434109,"baixa vulnerabilidade",0.921428571428571,0.921428571428571,0.921428571428571,1.84285714285714,4.3
"22","GO","520215","ARAGUAPAZ",2361639,"UBSF I MONICA CHAUL BERNARDINO",2324,296,0.12736660929432,"baixa vulnerabilidade",0.664,0.664,0.664,1.328,3.09866666666667
"23","GO","520215","ARAGUAPAZ",2500175,"UBSF II ALFREDO MACHADO",2758,486,0.176214648295867,"alta vulnerabilidade",1.379,1.379,1.379,2.758,3.67733333333333
"24","GO","520320","BARRO ALTO",2507382,"CENTRO DE SAUDE DE BARRO ALTO",4718,745,0.157905892327257,"média vulnerabilidade",1.8872,1.8872,1.8872,3.7744,6.29066666666667
"25","GO","520330","BELA VISTA DE GOIÁS",2570033,"UNIDADE BASICA DE SAUDE DA FAMILIA SAO VICENTE UBS 05",2982,643,0.215627095908786,"alta vulnerabilidade",1.491,1.491,1.491,2.982,3.976
"26","GO","520330","BELA VISTA DE GOIÁS",2769220,"UNIDADE BASICA DE SAUDE DA FAMILIA PEROLA DO SUL UBS 07",2932,403,0.137448840381992,"média vulnerabilidade",1.1728,1.1728,1.1728,2.3456,3.90933333333333
"27","GO","520355","BONFINÓPOLIS",2440504,"UNIDADE DE SAUDE DA FAMILIA II BONFINOPOLIS",3209,499,0.155500155811779,"alta vulnerabilidade",1.6045,1.6045,1.6045,3.209,4.27866666666667
"28","GO","520393","BURITI DE GOIÁS",2381923,"CENTRO DE SAUDE DE BURITI DE GOIAS",3065,337,0.109951060358891,"baixa vulnerabilidade",0.875714285714286,0.875714285714286,0.875714285714286,1.75142857142857,4.08666666666667
"29","GO","520430","CAÇU",3338843,"UBS SEBASTIAO VIEIRA NETO LOLA",2592,204,0.0787037037037037,"alta vulnerabilidade",1.296,1.296,1.296,2.592,3.456
"30","GO","520430","CAÇU",2383497,"UBS DIVINO CARLOS DE OLIVEIRA DIVA",3193,195,0.0610710930159724,"média vulnerabilidade",1.2772,1.2772,1.2772,2.5544,4.25733333333333
"31","GO","520440","CAIAPÔNIA",5478049,"UNIDADE BASICA DE SAUDE ELIEZER MOREIRA SANTOS",2458,330,0.134255492270138,"média vulnerabilidade",0.9832,0.9832,0.9832,1.9664,3.27733333333333
"32","GO","520450","CALDAS NOVAS",2439816,"ESTRATEGICA DE SAUDE DA FAMILIA SANTA EFIGENIA I",3175,414,0.130393700787402,"alta vulnerabilidade",1.5875,1.5875,1.5875,3.175,4.23333333333333
"33","GO","520450","CALDAS NOVAS",6509142,"ESTRATEGICA DE SAUDE DA FAMILIA SANTA EFIGENIA II",2983,332,0.111297351659403,"média vulnerabilidade",1.1932,1.1932,1.1932,2.3864,3.97733333333333
"34","GO","520460","CAMPESTRE DE GOIÁS",2361221,"UNIDADE DE SAUDE FAMILIA DE CAMPESTRE",4893,952,0.194563662374821,"baixa vulnerabilidade",1.398,1.398,1.398,2.796,6.524
"35","GO","520470","CAMPINORTE",5656672,"UNIDADE SAUDE DA FAMILIA WILMA RIBEIRO MACHADO",3583,457,0.127546748534747,"média vulnerabilidade",1.4332,1.4332,1.4332,2.8664,4.77733333333333
"36","GO","520480","CAMPO ALEGRE DE GOIÁS",6694268,"ESTRATEGIA DA SAUDE DA FAMILIA II",2803,429,0.153050303246522,"alta vulnerabilidade",1.4015,1.4015,1.4015,2.803,3.73733333333333
