uf_sigla,cod_regsaud,regiao_saude_pad,ano,mes,quantidade
PI,22007,TABULEIROS DO ALTO PARNAIBA,2022,06,2
AL,27004,4ª REGIAO DE SAUDE,2022,06,2
BA,29004,CAMACARI,2022,06,93
MG,31079,CONSELHEIRO LAFAIETE,2022,06,4
SP,35032,CENTRO OESTE DO DRS III,2022,06,35
PI,22010,VALE DO SAMBITO,2022,06,3
RN,24004,4ª REGIAO DE SAUDE - CAICO,2022,06,2
MT,51010,NORTE MATOGROSSENSE,2022,06,31
RS,43002,REGIAO 02,2022,06,23
GO,52008,NORTE,2022,06,18
MG,31070,ARAXA,2022,06,44
MG,31053,JANUARIA,2022,06,35
MG,31077,JOAO PINHEIRO,2022,06,22
RO,11003,CENTRAL,2022,06,128
MG,31082,SAO GOTARDO,2022,06,19
RJ,33002,BAIXADA LITORANEA,2022,06,111
PI,22005,PLANICIE LITORANEA,2022,06,1
MG,31058,UNAI,2022,06,9
MG,31044,LEOPOLDINA / CATAGUASES,2022,06,36
MA,21007,CODO,2022,06,41
MG,31075,UBERLANDIA / ARAGUARI,2022,06,7
BA,29025,SERRINHA,2022,06,84
MG,31015,SAO JOAO DEL REI,2022,06,68
SE,28007,PROPRIA,2022,06,2
SC,42001,EXTREMO OESTE,2022,06,42
SP,35052,SUL - BARRETOS,2022,06,7
GO,52003,ENTORNO NORTE,2022,06,89
SP,35171,ALTO VALE DO PARAIBA,2022,06,169
RJ,33007,NOROESTE,2022,06,66
MT,51008,NOROESTE MATOGROSSENSE,2022,06,58
CE,23002,2ª REGIAO CAUCAIA,2022,06,83
BA,29014,JACOBINA,2022,06,12
AM,13006,REGIONAL PURUS,2022,06,35
MG,31002,GUAXUPE,2022,06,4
PA,15002,BAIXO AMAZONAS,2022,06,51
PR,41019,19ª RS JACAREZINHO,2022,06,4
MG,31026,DIAMANTINA,2022,06,22
RS,43024,REGIAO 24,2022,06,2
SC,42005,FOZ DO RIO ITAJAI,2022,06,65
MG,31047,SAO JOAO NEPOMUCENO / BICAS,2022,06,6
SC,42003,XANXERE,2022,06,99
PR,41021,21ª RS TELEMACO BORBA,2022,06,71
RS,43012,REGIAO 12,2022,06,16
SP,35132,AQUIFERO GUARANI,2022,06,11
SP,35174,VALE DO PARAIBA/REGIAO SERRANA,2022,06,130
AC,12001,ALTO ACRE,2022,06,5
SC,42015,CARBONIFERA,2022,06,210
MG,31088,OLIVEIRA/SANTO ANTONIO DO AMPARO,2022,06,6
MA,21008,IMPERATRIZ,2022,06,174
PA,15009,RIO CAETES,2022,06,65
CE,23003,3ª REGIAO MARACANAU,2022,06,155
ES,32005,CENTRAL NORTE,2022,06,16
MG,31086,DIVINOPOLIS,2022,06,94
SC,42016,LAGUNA,2022,06,12
TO,17006,CAPIM DOURADO,2022,06,174
MA,21014,SANTA INES,2022,06,90
SC,42002,OESTE,2022,06,138
CE,23018,18ª REGIAO IGUATU,2022,06,36
RS,43021,REGIAO 21,2022,06,113
PI,22009,VALE DO RIO GUARIBAS,2022,06,6
SP,35063,POLO CUESTA,2022,06,103
RS,43013,REGIAO 13,2022,06,82
RJ,33001,BAIA DA ILHA GRANDE,2022,06,41
MG,31065,ITAOBIM,2022,06,1
SP,35021,CENTRAL DO DRS II,2022,06,13
BA,29020,SALVADOR,2022,06,616
MG,31071,FRUTAL / ITURAMA,2022,06,47
MG,31028,BOM DESPACHO,2022,06,30
SP,35072,REGIAO METROPOLITANA DE CAMPINAS,2022,06,504
PB,25016,16ª REGIAO,2022,06,141
MA,21012,PRESIDENTE DUTRA,2022,06,47
RS,43010,REGIAO 10,2022,06,346
PI,22008,VALE DO CANINDE,2022,06,2
SC,42010,ALTO URUGUAI CATARINENSE,2022,06,58
BA,29002,BARREIRAS,2022,06,162
SC,42012,PLANALTO NORTE,2022,06,90
PI,22001,CARNAUBAIS,2022,06,18
PB,25004,4ª REGIAO,2022,06,14
MA,21009,ITAPECURU MIRIM,2022,06,102
PI,22011,VALE DOS RIOS PIAUI E ITAUEIRAS,2022,06,40
AL,27010,10ª REGIAO DE SAUDE,2022,06,53
PR,41002,2ª RS METROPOLITANA,2022,06,259
SC,42013,SERRA CATARINENSE,2022,06,47
MA,21016,SAO LUIS,2022,06,250
PE,26007,OURICURI,2022,06,74
PB,25014,14ª REGIAO,2022,06,18
PB,25005,5ª REGIAO,2022,06,10
SP,35095,TUPA,2022,06,42
MG,31057,PATOS DE MINAS,2022,06,45
PE,26009,PETROLINA,2022,06,133
PR,41010,10ª RS CASCAVEL,2022,06,267
PR,41022,22ª RS IVAIPORA,2022,06,13
PR,41003,3ª RS PONTA GROSSA,2022,06,171
SP,35112,ALTA SOROCABANA,2022,06,152
MG,31041,ALEM  PARAIBA,2022,06,20
PI,22004,ENTRE RIOS,2022,06,135
SP,35051,NORTE - BARRETOS,2022,06,24
MG,31049,BRASILIA DE MINAS/SAO FRANCISCO,2022,06,34
MG,31007,POUSO ALEGRE,2022,06,26
MT,51016,VALE DOS ARINOS,2022,06,2
PA,15006,METROPOLITANA I,2022,06,447
MG,31076,MANGA,2022,06,20
MG,31051,FRANCISCO SA,2022,06,1
MG,31064,ARACUAI,2022,06,13
PB,25015,15ª REGIAO,2022,06,55
AM,13009,ALTO SOLIMOES,2022,06,111
RS,43023,REGIAO 23,2022,06,141
CE,23005,5ª REGIAO CANINDE,2022,06,18
MA,21004,BARRA DO CORDA,2022,06,48
SE,28003,ITABAIANA,2022,06,1
GO,52011,PIRINEUS,2022,06,136
RN,24006,6ª REGIAO DE SAUDE - PAU DOS FERROS,2022,06,3
MG,31078,CONGONHAS,2022,06,11
SP,35102,LIMEIRA,2022,06,5
SP,35074,CIRCUITO DAS AGUAS,2022,06,40
DF,53001,DISTRITO FEDERAL,2022,06,579
SP,35172,CIRCUITO DA FE E VALE HISTORICO,2022,06,51
MT,51006,MEDIO ARAGUAIA,2022,06,13
GO,52004,ENTORNO SUL,2022,06,270
MA,21006,CHAPADINHA,2022,06,65
SC,42006,MEDIO VALE DO ITAJAI,2022,06,128
SP,35094,OURINHOS,2022,06,86
RS,43019,REGIAO 19,2022,06,42
MA,21001,ACAILANDIA,2022,06,30
MG,31059,MANHUACU,2022,06,24
MG,31027,TURMALINA/MINAS NOVAS/CAPELINHA,2022,06,12
CE,23010,10ª REGIAO LIMOEIRO DO NORTE,2022,06,42
MG,31050,CORACAO DE JESUS,2022,06,9
GO,52002,CENTRO SUL,2022,06,100
MG,31093,PIUMHI,2022,06,20
PE,26008,PALMARES,2022,06,35
PE,26002,ARCOVERDE,2022,06,96
MG,31052,JANAUBA/MONTE AZUL,2022,06,45
CE,23007,7ª REGIAO ARACATI,2022,06,14
MA,21003,BALSAS,2022,06,99
PR,41007,7ª RS PATO BRANCO,2022,06,127
MA,21017,TIMON,2022,06,16
RS,43025,REGIAO 25,2022,06,63
MG,31066,NANUQUE,2022,06,1
MG,31042,CARANGOLA,2022,06,23
CE,23006,6ª REGIAO ITAPIPOCA,2022,06,10
MG,31046,SANTOS DUMONT,2022,06,1
SP,35143,RIO PARDO,2022,06,48
TO,17001,MEDIO NORTE ARAGUAIA,2022,06,197
TO,17002,BICO DO PAPAGAIO,2022,06,38
RS,43003,REGIAO 03,2022,06,79
PB,25011,11ª REGIAO,2022,06,20
MT,51013,SUL MATOGROSSENSE,2022,06,87
RJ,33006,METROPOLITANA II,2022,06,274
PB,25012,12ª REGIAO,2022,06,24
SP,35104,RIO CLARO,2022,06,48
AM,13004,MEDIO AMAZONAS,2022,06,70
BA,29007,GUANAMBI,2022,06,70
MG,31098,SALINAS,2022,06,3
RN,24003,3ª REGIAO DE SAUDE - JOAO CAMARA,2022,06,40
SP,35156,JOSE BONIFACIO,2022,06,3
MG,31092,PASSOS,2022,06,29
TO,17003,SUDESTE,2022,06,28
MG,31097,JUIZ DE FORA,2022,06,37
RS,43018,REGIAO 18,2022,06,8
PR,41008,8ª RS FRANCISCO BELTRAO,2022,06,41
MG,31095,SERRO,2022,06,7
MT,51003,ARAGUAIA XINGU,2022,06,1
SP,35022,LAGOS DO DRS II,2022,06,3
SP,35082,ALTA ANHANGUERA,2022,06,11
MG,31012,VARGINHA,2022,06,11
MG,31091,CASSIA,2022,06,17
GO,52017,SUL,2022,06,50
CE,23001,1ª REGIAO FORTALEZA,2022,06,616
RJ,33008,NORTE,2022,06,214
AC,12002,BAIXO ACRE E PURUS,2022,06,185
TO,17008,AMOR PERFEITO,2022,06,22
RJ,33005,METROPOLITANA I,2022,06,749
PR,41009,9ª RS FOZ DO IGUACU,2022,06,35
GO,52001,CENTRAL,2022,06,238
AL,27002,2ª REGIAO DE SAUDE,2022,06,1
MG,31017,BETIM,2022,06,3
PB,25010,10ª REGIAO,2022,06,1
PI,22003,COCAIS,2022,06,40
PR,41016,16ª RS APUCARANA,2022,06,117
SC,42007,GRANDE FLORIANOPOLIS,2022,06,148
MG,31016,BELO HORIZONTE/ NOVA LIMA/ CAETE,2022,06,22
SE,28001,ARACAJU,2022,06,2
RS,43007,REGIAO 07,2022,06,210
MG,31019,CURVELO,2022,06,15
SP,35013,MANANCIAIS,2022,06,243
AP,16003,AREA SUDOESTE,2022,06,22
PE,26006,LIMOEIRO,2022,06,178
SP,35151,CATANDUVA,2022,06,15
GO,52009,OESTE I,2022,06,14
SP,35083,ALTA MOGIANA,2022,06,13
BA,29015,JEQUIE,2022,06,128
BA,29001,ALAGOINHAS,2022,06,47
SP,35014,ROTA DOS BANDEIRANTES,2022,06,434
CE,23021,21ª REGIAO JUAZEIRO DO NORTE,2022,06,106
BA,29018,PORTO SEGURO,2022,06,188
SP,35111,ALTA PAULISTA,2022,06,43
MT,51011,OESTE MATOGROSSENSE,2022,06,9
MG,31010,TRES CORACOES,2022,06,15
SP,35163,SOROCABA,2022,06,293
MT,51014,TELES PIRES,2022,06,93
AM,13008,TRIANGULO,2022,06,60
SP,35034,CORACAO DO DRS III,2022,06,98
BA,29016,JUAZEIRO,2022,06,45
AM,13003,RIO MADEIRA,2022,06,105
SP,35071,BRAGANCA,2022,06,191
SC,42009,ALTO VALE DO RIO DO PEIXE,2022,06,119
MG,31011,TRES PONTAS,2022,06,14
PA,15004,LAGO DE TUCURUI,2022,06,89
GO,52012,RIO VERMELHO,2022,06,43
AL,27009,9ª REGIAO DE SAUDE,2022,06,3
SP,35031,CENTRAL DO DRS III,2022,06,70
MA,21013,ROSARIO,2022,06,30
BA,29009,ILHEUS,2022,06,19
SP,35101,ARARAS,2022,06,95
AL,27007,7ª REGIAO DE SAUDE,2022,06,97
CE,23008,8ª REGIAO QUIXADA,2022,06,49
SP,35093,MARILIA,2022,06,102
PB,25009,9ª REGIAO,2022,06,4
PR,41017,17ª RS LONDRINA,2022,06,239
RO,11004,MADEIRA-MAMORE,2022,06,32
MG,31085,TAIOBEIRAS,2022,06,1
MT,51002,BAIXADA CUIABANA,2022,06,25
SP,35133,VALE DAS CACHOEIRAS,2022,06,28
PI,22002,CHAPADA DAS MANGABEIRAS,2022,06,11
RS,43015,REGIAO 15,2022,06,16
RS,43014,REGIAO 14,2022,06,2
SP,35081,TRES COLINAS,2022,06,92
MA,21015,SAO JOAO DOS PATOS,2022,06,10
RN,24007,7ª REGIAO DE SAUDE - METROPOLITANA,2022,06,154
SP,35161,ITAPETININGA,2022,06,152
MG,31087,LAGOA DA PRATA/STO ANT DO MONTE,2022,06,34
RS,43001,REGIAO 01,2022,06,57
MG,31055,PIRAPORA,2022,06,27
SP,35141,BAIXA MOGIANA,2022,06,89
BA,29028,VITORIA DA CONQUISTA,2022,06,104
SP,35142,MANTIQUEIRA,2022,06,70
MG,31003,ITAJUBA,2022,06,31
SC,42004,ALTO VALE DO ITAJAI,2022,06,79
AP,16002,AREA NORTE,2022,06,11
GO,52005,ESTRADA DE FERRO,2022,06,4
MT,51005,GARCAS ARAGUAIA,2022,06,35
MG,31001,ALFENAS / MACHADO,2022,06,23
MG,31009,SAO SEBASTIAO DO PARAISO,2022,06,23
RJ,33009,SERRANA,2022,06,112
SP,35033,NORTE DO DRS III,2022,06,19
PA,15001,ARAGUAIA,2022,06,148
RN,24002,2ª REGIAO DE SAUDE - MOSSORO,2022,06,8
PE,26005,GOIANA,2022,06,36
RS,43011,REGIAO 11,2022,06,9
RO,11001,VALE DO JAMARI,2022,06,75
PB,25007,7ª REGIAO,2022,06,16
AP,16001,AREA CENTRAL,2022,06,193
PR,41014,14ª RS PARANAVAI,2022,06,8
CE,23020,20ª REGIAO CRATO,2022,06,2
MG,31030,FORMIGA,2022,06,35
SP,35153,JALES,2022,06,32
AM,13002,RIO NEGRO E SOLIMOES,2022,06,110
BA,29019,RIBEIRA DO POMBAL,2022,06,15
BA,29026,TEIXEIRA DE FREITAS,2022,06,88
PR,41001,1ª RS PARANAGUA,2022,06,58
SC,42017,VALE DO ITAPOCU,2022,06,11
MS,50003,DOURADOS,2022,06,3
MG,31020,GUANHAES,2022,06,4
PR,41015,15ª RS MARINGA,2022,06,159
MG,31034,CARATINGA,2022,06,7
BA,29017,PAULO AFONSO,2022,06,3
PR,41018,18ª RS CORNELIO PROCOPIO,2022,06,49
