"","ibge","UF","municipio","categoria","sexo","total"
"1",120001,"Acre","Acrelândia","0 a 4 anos","Masculino",633
"2",120005,"Acre","Assis Brasil","0 a 4 anos","Masculino",451
"3",120010,"Acre","Brasiléia","0 a 4 anos","Masculino",1120
"4",120013,"Acre","Bujari","0 a 4 anos","Masculino",544
"5",120017,"Acre","Capixaba","0 a 4 anos","Masculino",447
"6",120020,"Acre","Cruzeiro do Sul","0 a 4 anos","Masculino",3986
"7",120025,"Acre","Epitaciolândia","0 a 4 anos","Masculino",802
"8",120030,"Acre","Feijó","0 a 4 anos","Masculino",1976
"9",120032,"Acre","Jordão","0 a 4 anos","Masculino",635
"10",120033,"Acre","Mâncio Lima","0 a 4 anos","Masculino",933
"11",120034,"Acre","Manoel Urbano","0 a 4 anos","Masculino",645
"12",120035,"Acre","Marechal Thaumaturgo","0 a 4 anos","Masculino",1030
"13",120038,"Acre","Plácido de Castro","0 a 4 anos","Masculino",707
"14",120080,"Acre","Porto Acre","0 a 4 anos","Masculino",730
"15",120039,"Acre","Porto Walter","0 a 4 anos","Masculino",634
"16",120040,"Acre","Rio Branco","0 a 4 anos","Masculino",13495
"17",120042,"Acre","Rodrigues Alves","0 a 4 anos","Masculino",771
"18",120043,"Acre","Santa Rosa do Purus","0 a 4 anos","Masculino",520
"19",120050,"Acre","Sena Madureira","0 a 4 anos","Masculino",1894
"20",120045,"Acre","Senador Guiomard","0 a 4 anos","Masculino",889
"21",120060,"Acre","Tarauacá","0 a 4 anos","Masculino",2425
"22",120070,"Acre","Xapuri","0 a 4 anos","Masculino",813
"23",110001,"Rondônia","Alta Floresta D'Oeste","0 a 4 anos","Masculino",796
"24",110037,"Rondônia","Alto Alegre dos Parecis","0 a 4 anos","Masculino",412
"25",110040,"Rondônia","Alto Paraíso","0 a 4 anos","Masculino",583
"26",110034,"Rondônia","Alvorada D'Oeste","0 a 4 anos","Masculino",453
"27",110002,"Rondônia","Ariquemes","0 a 4 anos","Masculino",3489
"28",110045,"Rondônia","Buritis","0 a 4 anos","Masculino",1088
"29",110003,"Rondônia","Cabixi","0 a 4 anos","Masculino",175
"30",110060,"Rondônia","Cacaulândia","0 a 4 anos","Masculino",160
"31",110004,"Rondônia","Cacoal","0 a 4 anos","Masculino",2885
"32",110070,"Rondônia","Campo Novo de Rondônia","0 a 4 anos","Masculino",356
"33",110080,"Rondônia","Candeias do Jamari","0 a 4 anos","Masculino",954
"34",110090,"Rondônia","Castanheiras","0 a 4 anos","Masculino",103
"35",110005,"Rondônia","Cerejeiras","0 a 4 anos","Masculino",577
"36",110092,"Rondônia","Chupinguaia","0 a 4 anos","Masculino",375
"37",110006,"Rondônia","Colorado do Oeste","0 a 4 anos","Masculino",534
"38",110007,"Rondônia","Corumbiara","0 a 4 anos","Masculino",282
"39",110008,"Rondônia","Costa Marques","0 a 4 anos","Masculino",494
"40",110094,"Rondônia","Cujubim","0 a 4 anos","Masculino",644
"41",110009,"Rondônia","Espigão D'Oeste","0 a 4 anos","Masculino",1060
"42",110100,"Rondônia","Governador Jorge Teixeira","0 a 4 anos","Masculino",294
"43",110010,"Rondônia","Guajará-Mirim","0 a 4 anos","Masculino",1730
"44",110110,"Rondônia","Itapuã do Oeste","0 a 4 anos","Masculino",386
"45",110011,"Rondônia","Jaru","0 a 4 anos","Masculino",1823
"46",110012,"Rondônia","Ji-Paraná","0 a 4 anos","Masculino",4509
"47",110013,"Rondônia","Machadinho D'Oeste","0 a 4 anos","Masculino",1215
"48",110120,"Rondônia","Ministro Andreazza","0 a 4 anos","Masculino",190
"49",110130,"Rondônia","Mirante da Serra","0 a 4 anos","Masculino",313
"50",110140,"Rondônia","Monte Negro","0 a 4 anos","Masculino",430
"51",110014,"Rondônia","Nova Brasilândia D'Oeste","0 a 4 anos","Masculino",560
"52",110033,"Rondônia","Nova Mamoré","0 a 4 anos","Masculino",1091
"53",110143,"Rondônia","Nova União","0 a 4 anos","Masculino",189
"54",110050,"Rondônia","Novo Horizonte do Oeste","0 a 4 anos","Masculino",252
"55",110015,"Rondônia","Ouro Preto do Oeste","0 a 4 anos","Masculino",1203
"56",110145,"Rondônia","Parecis","0 a 4 anos","Masculino",157
"57",110018,"Rondônia","Pimenta Bueno","0 a 4 anos","Masculino",1281
"58",110146,"Rondônia","Pimenteiras do Oeste","0 a 4 anos","Masculino",98
"59",110020,"Rondônia","Porto Velho","0 a 4 anos","Masculino",16459
"60",110025,"Rondônia","Presidente Médici","0 a 4 anos","Masculino",607
"61",110147,"Rondônia","Primavera de Rondônia","0 a 4 anos","Masculino",115
"62",110026,"Rondônia","Rio Crespo","0 a 4 anos","Masculino",127
"63",110028,"Rondônia","Rolim de Moura","0 a 4 anos","Masculino",2011
"64",110029,"Rondônia","Santa Luzia D'Oeste","0 a 4 anos","Masculino",236
"65",110148,"Rondônia","São Felipe D'Oeste","0 a 4 anos","Masculino",144
"66",110149,"Rondônia","São Francisco do Guaporé","0 a 4 anos","Masculino",665
"67",110032,"Rondônia","São Miguel do Guaporé","0 a 4 anos","Masculino",833
"68",110150,"Rondônia","Seringueiras","0 a 4 anos","Masculino",407
